source,target,value
Gary Johnson,Citizens United,0
Mike Pence,Citizens United,0
Tim Kaine,Citizens United,0
Donald Trump,Third-Party,0
Hillary Clinton,Third-Party,0
Jill Stein,Third-Party,2
Gary Johnson,Third-Party,8
Mike Pence,Third-Party,0
Tim Kaine,Third-Party,0
Donald Trump,Transparency,0
Hillary Clinton,Transparency,0
Jill Stein,Transparency,4
Gary Johnson,Transparency,1
Mike Pence,Transparency,2
Tim Kaine,Transparency,3
Donald Trump,Voter,53
Hillary Clinton,Voter,29
Jill Stein,Voter,131
Gary Johnson,Voter,23
Mike Pence,Voter,4
Tim Kaine,Voter,5
Donald Trump,Detention,0
Hillary Clinton,Detention,3
Jill Stein,Detention,0
Gary Johnson,Detention,0
Mike Pence,Detention,0
Tim Kaine,Detention,0
Donald Trump,Drug,13
Hillary Clinton,Drug,13
Jill Stein,Drug,44
Gary Johnson,Drug,14
Mike Pence,Drug,20
Tim Kaine,Drug,20
Donald Trump,National Security,8
Hillary Clinton,National Security,7
Jill Stein,National Security,1
Gary Johnson,National Security,1
Mike Pence,National Security,2
Tim Kaine,National Security,6
Donald Trump,NSA,1
Hillary Clinton,NSA,0
Jill Stein,NSA,0
Gary Johnson,NSA,2
Mike Pence,NSA,0
Tim Kaine,NSA,0
Donald Trump,Private Prison,0
Hillary Clinton,Private Prison,1
Jill Stein,Private Prison,2
Gary Johnson,Private Prison,0
Mike Pence,Private Prison,0
Tim Kaine,Private Prison,0
Donald Trump,Sequestration,0
Hillary Clinton,Sequestration,0
Jill Stein,Sequestration,0
Gary Johnson,Sequestration,0
Mike Pence,Sequestration,0
Tim Kaine,Sequestration,2
Donald Trump,Snowden,3
Hillary Clinton,Snowden,0
Jill Stein,Snowden,1
Gary Johnson,Snowden,0
Mike Pence,Snowden,0
Tim Kaine,Snowden,0
Donald Trump,Surveillance,2
Hillary Clinton,Surveillance,0
Jill Stein,Surveillance,0
Gary Johnson,Surveillance,2
Mike Pence,Surveillance,0
Tim Kaine,Surveillance,0
Donald Trump,Abortion,1
Hillary Clinton,Abortion,9
Jill Stein,Abortion,1
Gary Johnson,Abortion,0
Mike Pence,Abortion,1
Tim Kaine,Abortion,1
Donald Trump,Black,13
Hillary Clinton,Black,42
Jill Stein,Black,41
Gary Johnson,Black,1
Mike Pence,Black,0
Tim Kaine,Black,2
Donald Trump,Gay,2
Hillary Clinton,Gay,10
Jill Stein,Gay,7
Gary Johnson,Gay,3
Mike Pence,Gay,0
Tim Kaine,Gay,0
Donald Trump,Gender,0
Hillary Clinton,Gender,6
Jill Stein,Gender,9
Gary Johnson,Gender,0
Mike Pence,Gender,0
Tim Kaine,Gender,3
Donald Trump,Marriage,1
Hillary Clinton,Marriage,15
Jill Stein,Marriage,8
Gary Johnson,Marriage,4
Mike Pence,Marriage,0
Tim Kaine,Marriage,5
Donald Trump,Planned Parenthood,1
Hillary Clinton,Planned Parenthood,15
Jill Stein,Planned Parenthood,0
Gary Johnson,Planned Parenthood,0
Mike Pence,Planned Parenthood,3
Tim Kaine,Planned Parenthood,3
Donald Trump,Religion,4
Hillary Clinton,Religion,5
Jill Stein,Religion,2
Gary Johnson,Religion,2
Mike Pence,Religion,4
Tim Kaine,Religion,6
Donald Trump,Transgender,0
Hillary Clinton,Transgender,8
Jill Stein,Transgender,1
Gary Johnson,Transgender,0
Mike Pence,Transgender,0
Tim Kaine,Transgender,1
Donald Trump,Charlotte,10
Hillary Clinton,Charlotte,1
Jill Stein,Charlotte,1
Gary Johnson,Charlotte,0
Mike Pence,Charlotte,6
Tim Kaine,Charlotte,1
Donald Trump,Childcare,1
Hillary Clinton,Childcare,17
Jill Stein,Childcare,2
Gary Johnson,Childcare,0
Mike Pence,Childcare,0
Tim Kaine,Childcare,0
Donald Trump,Death Penalty,1
Hillary Clinton,Death Penalty,0
Jill Stein,Death Penalty,1
Gary Johnson,Death Penalty,1
Mike Pence,Death Penalty,0
Tim Kaine,Death Penalty,0
Donald Trump,Eminent Domain,4
Hillary Clinton,Eminent Domain,0
Jill Stein,Eminent Domain,0
Gary Johnson,Eminent Domain,0
Mike Pence,Eminent Domain,0
Tim Kaine,Eminent Domain,0
Donald Trump,Gun,19
Hillary Clinton,Gun,122
Jill Stein,Gun,17
Gary Johnson,Gun,2
Mike Pence,Gun,3
Tim Kaine,Gun,41
Donald Trump,Healthcare,22
Hillary Clinton,Healthcare,36
Jill Stein,Healthcare,78
Gary Johnson,Healthcare,2
Mike Pence,Healthcare,5
Tim Kaine,Healthcare,20
Donald Trump,Insurance,4
Hillary Clinton,Insurance,4
Jill Stein,Insurance,10
Gary Johnson,Insurance,1
Mike Pence,Insurance,1
Tim Kaine,Insurance,5
Donald Trump,Marijuana,0
Hillary Clinton,Marijuana,0
Jill Stein,Marijuana,17
